id,recipe,norm_amount,procedure
654,kaše instantní,5,Přesunuto ze Strávníčku
655,rajčata,10,Přesunuto ze Strávníčku
656,ředkvičky,10,Přesunuto ze Strávníčku
657,papriky,10,Přesunuto ze Strávníčku
658,kedlubny,10,Přesunuto ze Strávníčku
774,piškoty,10,Přesunuto ze Strávníčku
775,sušenky,10,Přesunuto ze Strávníčku
776,zákusky,10,Přesunuto ze Strávníčku
777,zahradnický řízek,10,Přesunuto ze Strávníčku
778,salát rajčatový s vejci,10,Přesunuto ze Strávníčku
814,banány,10,Přesunuto ze Strávníčku
815,broskve,10,Přesunuto ze Strávníčku
816,nektarinky,10,Přesunuto ze Strávníčku
817,hrušky,10,Přesunuto ze Strávníčku
819,jablka,10,Přesunuto ze Strávníčku
822,kiwi,10,Přesunuto ze Strávníčku
827,kompot 700g-820g,10,Přesunuto ze Strávníčku
834,mandarinky,10,Přesunuto ze Strávníčku
835,meloun,10,Přesunuto ze Strávníčku
836,meruňky,10,Přesunuto ze Strávníčku
838,pomeranče,10,Přesunuto ze Strávníčku
843,ryngle,10,Přesunuto ze Strávníčku
844,švestky,10,Přesunuto ze Strávníčku
846,vino hroznové,10,Přesunuto ze Strávníčku
911,vepřové maso na houbách,10,Přesunuto ze Strávníčku
956,šunka 30g,10,Přesunuto ze Strávníčku
957,šunka 50g,10,Přesunuto ze Strávníčku
965,termix,10,Přesunuto ze Strávníčku
979,moravský vrabec,10,Přesunuto ze Strávníčku
980,polárkový dort,10,Přesunuto ze Strávníčku
983,jogurt,10,Přesunuto ze Strávníčku
987,rybí file zapečené se sýrem,10,Přesunuto ze Strávníčku
988,přesnídávky,10,Přesunuto ze Strávníčku
989,vepřové ražniči,10,Přesunuto ze Strávníčku
990,pitíčko,10,Přesunuto ze Strávníčku
991,minerálka,10,Přesunuto ze Strávníčku
992,pomazánkové máslo,10,Přesunuto ze Strávníčku
993,džem porce,10,Přesunuto ze Strávníčku
997,mléko ochucené krabička,10,Přesunuto ze Strávníčku
1017,máslo 10 g,10,Přesunuto ze Strávníčku
1019,máslo 20 g,10,Přesunuto ze Strávníčku
1033,rohlíky 2ks,10,Přesunuto ze Strávníčku
1034,rybí file na bylinkách,10,Přesunuto ze Strávníčku
1035,housky 2,10,Přesunuto ze Strávníčku
1036,housky 3,10,Přesunuto ze Strávníčku
1037,kuřecí stehna smažená,10,Přesunuto ze Strávníčku
1038,koláče 2ks,10,Přesunuto ze Strávníčku
1039,pomazánka mrkvová,10,Přesunuto ze Strávníčku
1040,játra smažená,10,Přesunuto ze Strávníčku
1041,hranolky,10,Přesunuto ze Strávníčku
1042,rohlíky 1ks,10,Přesunuto ze Strávníčku
1043,sýr troj,10,Přesunuto ze Strávníčku
1044,vánočka 1/3,9,Přesunuto ze Strávníčku
1045,vánočka 1/4,8,Přesunuto ze Strávníčku
1046,paštiky 48g,10,Přesunuto ze Strávníčku
1047,paštiky 100g,10,Přesunuto ze Strávníčku
1048,čaj viatex,10,Přesunuto ze Strávníčku
1049,salám 50g,10,Přesunuto ze Strávníčku
1050,kapučino,10,Přesunuto ze Strávníčku
1051,káva karo,10,Přesunuto ze Strávníčku
1052,kakao granko,10,Přesunuto ze Strávníčku
1053,kakao obyčejné,10,Přesunuto ze Strávníčku
1055,cukr na patra,20,Přesunuto ze Strávníčku
1056,salám 30g,10,Přesunuto ze Strávníčku
1057,chléb 6,6,Přesunuto ze Strávníčku
1058,chléb 9,9,Přesunuto ze Strávníčku
1059,hermelín 1,10,Přesunuto ze Strávníčku
1060,koláč švestkový s mákem,10,Přesunuto ze Strávníčku
1061,hermelín 1/2,10,Přesunuto ze Strávníčku
1062,eidam 30,10,Přesunuto ze Strávníčku
1063,eidam 50,10,Přesunuto ze Strávníčku
1065,zelenina grilovaná,10,Přesunuto ze Strávníčku
1066,lučina 1ks,10,Přesunuto ze Strávníčku
1067,piškotová roláda,10,Přesunuto ze Strávníčku
1069,šátečky 2ks,10,Přesunuto ze Strávníčku
1070,pudink se šlehačkou,10,Přesunuto ze Strávníčku
1071,šátečky 1 ks,10,Přesunuto ze Strávníčku
1073,makový závin 1/3 ks,9,Přesunuto ze Strávníčku
1074,makový závin 1/4 ks,10,Přesunuto ze Strávníčku
1075,vinná klobása 150,10,Přesunuto ze Strávníčku
1076,vepřové maso plovdivské,10,Přesunuto ze Strávníčku
1077,paštika krájená 150g,10,Přesunuto ze Strávníčku
1078,paštika krájená 100g,10,Přesunuto ze Strávníčku
1079,rybí file přírodní,10,Přesunuto ze Strávníčku
1080,pizza,10,Přesunuto ze Strávníčku
1081,máslo porce 1,10,Přesunuto ze Strávníčku
1082,máslo porce 2,10,Přesunuto ze Strávníčku
1083,vepřové žebírko srbské,10,Přesunuto ze Strávníčku
1084,párky 100g s hořčicí,10,Přesunuto ze Strávníčku
1562,káva melta,10,Přesunuto ze Strávníčku
3001,polévka hovězí s masem a těstovinami,10,Přesunuto ze Strávníčku
3003,polévka bramborová,10,Přesunuto ze Strávníčku
3005,polévka bramborová s krupkami,10,Přesunuto ze Strávníčku
3006,polévka celerová,10,Přesunuto ze Strávníčku
3007,polévka česnečka,10,Přesunuto ze Strávníčku
3008,polévka čočková,10,Přesunuto ze Strávníčku
3009,polévka krupicová s vejcem,10,Přesunuto ze Strávníčku
3010,polévka s kapustou a rýží,10,Přesunuto ze Strávníčku
3011,polévka drožďová,10,Přesunuto ze Strávníčku
3012,polévka drštková,10,Přesunuto ze Strávníčku
3013,polévka drůbková,10,Přesunuto ze Strávníčku
3014,polévka fazolová,10,Přesunuto ze Strávníčku
3015,polévka frankfurtská,10,Přesunuto ze Strávníčku
3016,polévka gulášová,10,Přesunuto ze Strávníčku
3017,polévka houbová,10,Přesunuto ze Strávníčku
3018,polévka hrachová,10,Přesunuto ze Strávníčku
3019,polévka hrstková,10,Přesunuto ze Strávníčku
3020,polévka chlebová,10,Přesunuto ze Strávníčku
3022,polévka kapustová,10,Přesunuto ze Strávníčku
3023,polévka kmínová,10,Přesunuto ze Strávníčku
3024,polévka kroupová,10,Přesunuto ze Strávníčku
3025,polévka květáková,10,Přesunuto ze Strávníčku
3027,polévka masová ragů,10,Přesunuto ze Strávníčku
3030,polévka pórková,10,Přesunuto ze Strávníčku
